epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.124,1.90441,2.41159,1.68716,0.41267,0.4141,0.35921,0.1477,1.27936,4.24347,1.186,0.000333251,0.000333251,0.0670082
2,752.991,1.83871,2.05899,1.61776,0.46079,0.46173,0.4154,0.179,1.23977,3.78214,1.12079,0.000644587,0.000644587,0.0339862
3,1098.97,1.76932,1.92727,1.57097,0.47408,0.5102,0.48767,0.22654,1.21141,1.98595,1.10086,0.000933923,0.000933923,0.000942178
4,1435.65,1.73309,1.79309,1.53015,0.61386,0.50951,0.54972,0.26715,1.18154,1.71702,1.08631,0.000901,0.000901,0.000901
5,1767.77,1.68464,1.71313,1.48486,0.61746,0.53559,0.57849,0.2941,1.15794,1.73244,1.05237,0.000868,0.000868,0.000868
6,2107.49,1.64867,1.6597,1.46508,0.61503,0.56308,0.60174,0.30168,1.13676,1.72769,1.04343,0.000835,0.000835,0.000835
7,2446.03,1.6308,1.59077,1.45632,0.63985,0.55184,0.60178,0.3019,1.13928,1.29356,1.03979,0.000802,0.000802,0.000802
8,2789.83,1.62253,1.57238,1.44081,0.60533,0.56875,0.59142,0.30161,1.12305,1.35766,1.01713,0.000769,0.000769,0.000769
9,3130.42,1.59368,1.52041,1.41911,0.64622,0.57432,0.61944,0.32766,1.0997,1.25673,1.00276,0.000736,0.000736,0.000736
10,3466.29,1.57907,1.4891,1.40844,0.66043,0.58389,0.63518,0.33643,1.09638,1.36857,1.00078,0.000703,0.000703,0.000703
11,3793.19,1.56346,1.45279,1.39825,0.66384,0.59532,0.64669,0.34346,1.08646,1.27655,0.99788,0.00067,0.00067,0.00067
12,4128.98,1.53597,1.41966,1.37546,0.67805,0.6004,0.65917,0.35356,1.07947,1.23916,0.9873,0.000637,0.000637,0.000637
13,4489.14,1.52613,1.39779,1.36927,0.68626,0.61585,0.67109,0.35872,1.08164,1.34021,0.98475,0.000604,0.000604,0.000604
14,4923.52,1.53317,1.39099,1.373,0.67989,0.60048,0.66713,0.3632,1.06021,1.17158,0.96485,0.000571,0.000571,0.000571
15,5360.98,1.51303,1.37047,1.36206,0.69826,0.61752,0.68281,0.37114,1.06154,1.13187,0.96758,0.000538,0.000538,0.000538
16,5796.82,1.49697,1.33989,1.3515,0.69,0.62398,0.68506,0.3716,1.06092,1.1528,0.97397,0.000505,0.000505,0.000505
17,6217.49,1.4852,1.32059,1.34098,0.70123,0.61732,0.68365,0.37322,1.05769,1.1587,0.9613,0.000472,0.000472,0.000472
18,6597.96,1.48821,1.31359,1.34442,0.70571,0.61909,0.68694,0.37738,1.05396,1.13949,0.96237,0.000439,0.000439,0.000439
19,6947.71,1.47268,1.28381,1.33109,0.7193,0.62846,0.70099,0.38837,1.04924,1.13553,0.95792,0.000406,0.000406,0.000406
20,7285.93,1.44924,1.27257,1.31718,0.73473,0.62063,0.69711,0.38531,1.04197,1.08447,0.95199,0.000373,0.000373,0.000373
21,7664.34,1.4814,1.22098,1.29026,0.71336,0.6338,0.70154,0.38744,1.04841,1.00038,0.95965,0.00034,0.00034,0.00034
22,8042.37,1.4711,1.18039,1.27689,0.72976,0.62359,0.69842,0.38667,1.04696,1.0073,0.95564,0.000307,0.000307,0.000307
23,8418.09,1.45837,1.14666,1.27402,0.72108,0.63625,0.70305,0.38861,1.05256,0.98676,0.96334,0.000274,0.000274,0.000274
24,8766.41,1.45235,1.14528,1.2698,0.72017,0.63562,0.70308,0.38932,1.04602,0.99466,0.95414,0.000241,0.000241,0.000241
25,9106.3,1.4464,1.13539,1.25604,0.72374,0.62785,0.70736,0.39472,1.04072,0.95322,0.95003,0.000208,0.000208,0.000208
26,9445,1.42558,1.10105,1.24975,0.73088,0.64247,0.71508,0.39808,1.03945,0.96053,0.94922,0.000175,0.000175,0.000175
27,9783.92,1.39835,1.07332,1.23329,0.7248,0.63987,0.7103,0.3984,1.038,0.95608,0.94661,0.000142,0.000142,0.000142
28,10122,1.40727,1.07197,1.23454,0.71663,0.6546,0.715,0.39947,1.03867,0.94127,0.94738,0.000109,0.000109,0.000109
29,10501.4,1.39812,1.04532,1.22662,0.72405,0.65437,0.71593,0.40137,1.0372,0.96748,0.94664,7.6e-05,7.6e-05,7.6e-05
30,10922.2,1.3776,1.03669,1.2208,0.73348,0.64192,0.71761,0.40416,1.03788,0.95233,0.94515,4.3e-05,4.3e-05,4.3e-05
