epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7172,2.17169,1.87802,1.14462,0.6562,0.49715,0.51935,0.22326,2.00539,1.1534,1.10834,0.000332562,0.000332562,0.0670764
2,169.166,2.0135,1.23068,1.08265,0.65866,0.53178,0.55793,0.2495,1.90389,1.11997,1.04688,0.000643921,0.000643921,0.0340544
3,255.604,2.01433,1.19093,1.07224,0.64655,0.56434,0.58137,0.26348,1.92753,1.08673,1.06417,0.000933279,0.000933279,0.00101044
4,337.117,1.92926,1.10455,1.05504,0.67933,0.54574,0.58829,0.26098,1.8892,1.03158,1.03423,0.000901,0.000901,0.000901
5,420.139,1.95861,1.12581,1.06305,0.71996,0.53798,0.61632,0.28807,1.87454,1.05533,1.03885,0.000868,0.000868,0.000868
6,504.394,1.91339,1.10352,1.05062,0.68336,0.57364,0.62033,0.29083,1.82372,1.0007,1.02181,0.000835,0.000835,0.000835
7,590.564,1.86286,1.05814,1.0319,0.72325,0.53798,0.62126,0.29201,1.81284,0.98627,1.01288,0.000802,0.000802,0.000802
8,684.964,1.84804,1.03502,1.02583,0.66919,0.59274,0.62272,0.29617,1.79968,0.98272,0.99305,0.000769,0.000769,0.000769
9,777.239,1.82106,1.01057,1.00506,0.72128,0.62326,0.66457,0.31979,1.75466,0.95994,0.9857,0.000736,0.000736,0.000736
10,863.118,1.81257,0.98111,0.99101,0.71534,0.61395,0.66364,0.33214,1.71963,0.91533,0.98813,0.000703,0.000703,0.000703
11,945.356,1.77818,0.95919,0.9992,0.75812,0.59285,0.67606,0.34282,1.67084,0.90434,0.97813,0.00067,0.00067,0.00067
12,1032.66,1.72506,0.93976,0.98763,0.72306,0.6155,0.67411,0.34707,1.7005,0.9156,0.97637,0.000637,0.000637,0.000637
13,1115.95,1.73268,0.94696,0.9841,0.72009,0.60155,0.66843,0.33001,1.71584,0.92828,0.97137,0.000604,0.000604,0.000604
14,1197.29,1.75052,0.94438,0.96687,0.69516,0.5845,0.63629,0.33236,1.6613,0.91468,0.96013,0.000571,0.000571,0.000571
15,1285.47,1.70887,0.92665,0.97273,0.73843,0.61277,0.68967,0.3532,1.66768,0.88041,0.95821,0.000538,0.000538,0.000538
16,1384.31,1.70648,0.92282,0.98498,0.72397,0.63566,0.6808,0.34437,1.68069,0.90875,0.96409,0.000505,0.000505,0.000505
17,1481.37,1.71602,0.91414,0.95348,0.73713,0.61736,0.69763,0.34132,1.72231,0.90467,0.97618,0.000472,0.000472,0.000472
18,1578.53,1.68827,0.90525,0.96297,0.73031,0.61715,0.68179,0.34239,1.68332,0.88937,0.95763,0.000439,0.000439,0.000439
19,1675.26,1.64156,0.8856,0.94071,0.74389,0.63494,0.69401,0.36256,1.6566,0.86695,0.96581,0.000406,0.000406,0.000406
20,1771.96,1.63951,0.85683,0.93543,0.74605,0.61944,0.69047,0.36014,1.63423,0.84908,0.95498,0.000373,0.000373,0.000373
21,1864.79,1.6525,0.85551,0.92852,0.7296,0.63876,0.68481,0.3654,1.59831,0.84055,0.93632,0.00034,0.00034,0.00034
22,1958.62,1.61304,0.8321,0.91822,0.73364,0.60637,0.68307,0.36399,1.60419,0.84351,0.9391,0.000307,0.000307,0.000307
23,2052.25,1.57829,0.81675,0.91556,0.75739,0.61705,0.68796,0.36583,1.62596,0.83758,0.94397,0.000274,0.000274,0.000274
24,2148.01,1.58637,0.82182,0.91459,0.72071,0.63566,0.67986,0.37039,1.59235,0.83287,0.94581,0.000241,0.000241,0.000241
25,2243.23,1.54627,0.79764,0.91148,0.74143,0.63572,0.70028,0.37263,1.58397,0.81653,0.93391,0.000208,0.000208,0.000208
26,2338.37,1.53113,0.79336,0.90743,0.72909,0.64961,0.69304,0.38091,1.57317,0.80862,0.94153,0.000175,0.000175,0.000175
27,2432.72,1.55639,0.79974,0.89589,0.74632,0.65736,0.70984,0.38563,1.55125,0.79825,0.92529,0.000142,0.000142,0.000142
28,2526.06,1.54055,0.79214,0.90464,0.75137,0.64658,0.70063,0.37168,1.58863,0.80503,0.94128,0.000109,0.000109,0.000109
29,2619.56,1.49522,0.76802,0.89953,0.76302,0.65116,0.7152,0.39015,1.55523,0.78308,0.94343,7.6e-05,7.6e-05,7.6e-05
30,2712.86,1.50769,0.76519,0.89154,0.75118,0.65061,0.71056,0.38471,1.55253,0.78734,0.94282,4.3e-05,4.3e-05,4.3e-05
